Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
1,Jaylen Hall,Western Michigan,MAC,5,12,323,26.9,7,0,0,,0,12,323,26.9,7,jaylen-hall-1
2,Lavel Davis,Virginia,ACC,7,20,515,25.8,5,0,0,,0,20,515,25.8,5,lavel-davis-1
3,Bryce Mitchell,Toledo,MAC,5,13,306,23.5,4,0,0,,0,13,306,23.5,4,bryce-mitchell-1
4,D'Wayne Eskridge,Western Michigan,MAC,6,33,768,23.3,8,2,43,21.5,0,35,811,23.2,8,dwayne-eskridge-1
5,Quentin Johnston,TCU,Big 12,8,22,487,22.1,2,3,3,1,2,25,490,19.6,4,quentin-johnston-1
6,Reggie Roberson Jr.,SMU,American,5,22,474,21.5,5,0,0,,0,22,474,21.5,5,reggie-roberson-jr-1
7,C.J. Johnson,East Carolina,American,9,19,405,21.3,6,0,0,,0,19,405,21.3,6,cj-johnson-6
8,Jaylen Waddle,Alabama,SEC,6,28,591,21.1,4,3,12,4,0,31,603,19.5,4,jaylen-waddle-1
9,Austin Trammell,Rice,CUSA,3,16,335,20.9,6,0,0,,0,16,335,20.9,6,austin-trammell-1
10,Deonte Simpson,North Texas,CUSA,8,25,517,20.7,4,0,-4,,0,25,513,20.5,4,deonte-simpson-1
11,Isiah Cox,Ohio,MAC,3,7,142,20.3,1,1,28,28,0,8,170,21.3,1,isiah-cox-1
12,Dallas Dixon,Central Michigan,MAC,4,13,263,20.2,1,0,0,,0,13,263,20.2,1,dallas-dixon-1
13,Donavon Greene,Wake Forest,ACC,8,29,582,20.1,2,0,0,,0,29,582,20.1,2,donavon-greene-1
14,Dyami Brown,North Carolina,ACC,11,55,1099,20,8,0,0,,0,55,1099,20,8,dyami-brown-1
15,Isaiah Likely,Coastal Carolina,Sun Belt,10,30,601,20,5,0,0,,0,30,601,20,5,isaiah-likely-1
16,Greg Dulcich,UCLA,Pac-12,7,26,517,19.9,5,0,0,,0,26,517,19.9,5,greg-dulcich-1
17,Trevor Wilson,Buffalo,MAC,7,16,319,19.9,3,0,0,,0,16,319,19.9,3,trevor-wilson-1
18,Jalen Nailor,Michigan State,Big Ten,7,26,515,19.8,4,2,11,5.5,0,28,526,18.8,4,jalen-nailor-1
19,Gunner Romney,Brigham Young,Ind,10,39,767,19.7,2,6,15,2.5,1,45,782,17.4,3,gunner-romney-1
20,Jack Sorenson,Miami (OH),MAC,3,18,354,19.7,4,0,0,,0,18,354,19.7,4,jack-sorenson-1
21,Ryan O'Keefe,UCF,American,10,20,391,19.6,3,0,0,,0,20,391,19.6,3,ryan-okeefe-1
22,Ty Fryfogle,Indiana,Big Ten,8,37,721,19.5,7,0,0,,0,37,721,19.5,7,ty-fryfogle-1
23,Chris Autman-Bell,Minnesota,Big Ten,7,22,430,19.5,1,0,0,,0,22,430,19.5,1,chris-autman-bell-1
24,Dez Fitzpatrick,Louisville,ACC,11,43,833,19.4,3,0,0,,0,43,833,19.4,3,dez-fitzpatrick-1
25,Kenny Yeboah,Ole Miss,SEC,7,27,524,19.4,6,0,0,,0,27,524,19.4,6,kenny-yeboah-1
26,Michael Woods,Arkansas,SEC,10,32,619,19.3,5,1,2,2,0,33,621,18.8,5,michael-woods-4
27,Devon Williams,Oregon,Pac-12,5,15,286,19.1,2,0,0,,0,15,286,19.1,2,devon-williams-2
28,Jacob Copeland,Florida,SEC,9,23,435,18.9,3,1,17,17,0,24,452,18.8,3,jacob-copeland-1
29,Brycen Tremayne,Stanford,Pac-12,5,14,265,18.9,0,0,0,,0,14,265,18.9,0,brycen-tremayne-1
30,Rachaad White,Arizona State,Pac-12,4,8,151,18.9,1,42,420,10,5,50,571,11.4,6,rachaad-white-1
31,Isaiah McKoy,Kent State,MAC,4,25,455,18.2,5,0,0,,0,25,455,18.2,5,isaiah-mckoy-1
32,Jacob Harris,UCF,American,10,30,539,18,8,0,0,,0,30,539,18,8,jacob-harris-2
33,Kevin Shaa,Liberty,Ind,10,25,450,18,4,0,0,,0,25,450,18,4,kevin-shaa-1
34,Kyle Pitts,Florida,SEC,8,43,770,17.9,12,0,0,,0,43,770,17.9,12,kyle-pitts-1
35,Jason Brownlee,Southern Mississippi,CUSA,9,34,610,17.9,5,0,0,,0,34,610,17.9,5,jason-brownlee-1
36,Jaylon Robinson,UCF,American,10,55,979,17.8,6,0,0,,0,55,979,17.8,6,jaylon-robinson-1
37,Bailey Gaither,San Jose State,MWC,7,41,725,17.7,4,0,0,,0,41,725,17.7,4,bailey-gaither-1
38,Deuce Vaughn,Kansas State,Big 12,10,25,434,17.4,2,123,642,5.2,7,148,1076,7.3,9,deuce-vaughn-1
39,T.J. Simmons,West Virginia,Big 12,7,23,401,17.4,4,2,16,8,0,25,417,16.7,4,tj-simmons-4
